latitude,longitude
-14.270999999999999,-170.132
13.4443,144.7937
15.0979,145.6739
18.2208,-66.5901
18.3358,-64.8963
32.53952745,-86.64408227
30.72774991,-87.72207058
31.868263,-85.3871286
32.99642064,-87.12511459999996
33.98210918,-86.56790593
