LAT,LONG,NUM_CASES
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
40.3,-79.65,1
